timestamp,user_id,location,access_granted,hour,date,is_after_hours
2025-07-02 07:23:59,USER_047,Main Lobby,True,7,2025-07-02,False
2025-07-02 08:00:59,USER_013,Main Lobby,True,8,2025-07-02,False
2025-07-02 08:24:59,USER_032,Parking Garage,True,8,2025-07-02,False
2025-07-02 08:49:59,USER_036,Parking Garage,True,8,2025-07-02,False
2025-07-02 09:04:59,USER_042,HR Office,True,9,2025-07-02,False
2025-07-02 09:37:59,USER_005,Executive Floor,True,9,2025-07-02,False
2025-07-02 10:00:59,USER_010,Finance Office,True,10,2025-07-02,False
2025-07-02 10:18:59,USER_043,Executive Floor,True,10,2025-07-02,False
2025-07-02 11:27:59,USER_018,Main Lobby,True,11,2025-07-02,False
2025-07-02 11:29:59,USER_041,Main Lobby,True,11,2025-07-02,False
2025-07-02 11:33:59,USER_008,HR Office,True,11,2025-07-02,False
2025-07-02 12:21:59,USER_033,Parking Garage,True,12,2025-07-02,False
2025-07-02 13:06:59,USER_011,Finance Office,True,13,2025-07-02,False
2025-07-02 14:06:59,USER_009,Executive Floor,True,14,2025-07-02,False
2025-07-02 14:11:59,USER_022,Finance Office,True,14,2025-07-02,False
2025-07-02 14:17:59,USER_039,Parking Garage,True,14,2025-07-02,False
2025-07-02 14:40:59,USER_032,HR Office,True,14,2025-07-02,False
2025-07-02 15:53:59,USER_029,Parking Garage,True,15,2025-07-02,False
2025-07-02 17:31:59,USER_030,Main Lobby,True,17,2025-07-02,False
2025-07-02 17:40:59,USER_035,Main Lobby,True,17,2025-07-02,False
2025-07-02 18:01:59,USER_026,HR Office,True,18,2025-07-02,False
2025-07-02 18:33:59,USER_013,Finance Office,True,18,2025-07-02,False
2025-07-02 23:39:59,USER_005,Server Room A,True,23,2025-07-02,True
2025-07-03 06:59:59,USER_046,HR Office,True,6,2025-07-03,True
2025-07-03 07:17:59,USER_031,Executive Floor,True,7,2025-07-03,False
2025-07-03 08:10:59,USER_019,Parking Garage,True,8,2025-07-03,False
2025-07-03 08:14:59,USER_010,Parking Garage,True,8,2025-07-03,False
2025-07-03 09:00:59,USER_034,HR Office,True,9,2025-07-03,False
2025-07-03 09:35:59,USER_029,Finance Office,True,9,2025-07-03,False
2025-07-03 09:39:59,USER_005,HR Office,True,9,2025-07-03,False
2025-07-03 11:45:59,USER_018,HR Office,True,11,2025-07-03,False
2025-07-03 11:59:59,USER_029,Finance Office,True,11,2025-07-03,False
2025-07-03 12:13:59,USER_025,Executive Floor,True,12,2025-07-03,False
2025-07-03 12:14:59,USER_037,Executive Floor,True,12,2025-07-03,False
2025-07-03 12:25:59,USER_019,Executive Floor,True,12,2025-07-03,False
2025-07-03 12:48:59,USER_003,Finance Office,True,12,2025-07-03,False
2025-07-03 12:51:59,USER_012,HR Office,True,12,2025-07-03,False
2025-07-03 13:04:59,USER_024,HR Office,True,13,2025-07-03,False
2025-07-03 14:07:59,USER_034,Main Lobby,True,14,2025-07-03,False
2025-07-03 14:54:59,USER_007,Main Lobby,True,14,2025-07-03,False
2025-07-03 15:32:59,USER_001,Parking Garage,True,15,2025-07-03,False
2025-07-03 16:08:59,USER_009,Finance Office,True,16,2025-07-03,False
2025-07-03 16:47:59,USER_013,HR Office,True,16,2025-07-03,False
2025-07-03 16:53:59,USER_016,Main Lobby,True,16,2025-07-03,False
2025-07-03 17:51:59,USER_013,Executive Floor,True,17,2025-07-03,False
2025-07-03 18:39:59,USER_014,Parking Garage,True,18,2025-07-03,False
2025-07-03 22:13:59,USER_031,Server Room A,True,22,2025-07-03,True
2025-07-04 07:33:59,USER_025,Finance Office,True,7,2025-07-04,False
2025-07-04 07:48:59,USER_039,Main Lobby,True,7,2025-07-04,False
2025-07-04 08:00:59,USER_040,HR Office,True,8,2025-07-04,False
